"ID","SMILES","HOMO","LUMO","LUMO+1","f(S1)","f(S2)","E(S1)","E(T1)","dS1T1","EHOMO","ELUMO","ΔELL+1","fmax","ΔES1T1","consensus Log Po/w","λ"
"ADUDIO","COC(=O)C=C1SC(=NC(=O)c2ccccc2Br)N(C1=O)c1ccc(Cl)cc1Cl",-8.16259917,-2.13337259,-0.87103644,0.003,0.4376,3.55410002126259,2.92944274602081,0.62465727524179,"","","","","","",""
"ADUQUM","O=C1C2=C(C(=O)C3=C1c1ccccc1N3Cc1ccccc1)c1ccccc1N2Cc1ccccc1",-7.14108378,-2.15840706,-0.20082002,0.0,0.0,2.70690001619418,2.32447025382108,0.38242976237309,"","","","","","",""
"AEPCNQ10","CCN(CCN(C(C)=O)C1=C(Cl)C(=O)c2ccccc2C1=O)c1ccccc1",-7.06081019,-2.42480652,-0.51592786,0.0773,0.0004,2.78720001667458,2.49595966776894,0.291240348905639,"","","","","","",""
"AFECUJ01","ClC1=CC=C(Cl)C2=[N+]([O-])ON=C12",-7.84721922,-2.38426156,0.19891522,0.153,0.0006,3.43390002054349,1.56509873017566,1.86880129036782,"","","","","","",""
"AFEJIG","CCc1ccc(cc1)c1nc2ccccc2c2C(=O)N(C(=S)c12)c1ccccc1",-7.41537454,-2.23895276,-1.01607312,0.0,0.0662,2.21790001326871,2.01570266766182,0.202197345606889,"","","","","","",""
"AFIMUX","CC1=C(C=C(S1)c1ccccc1)C1=C(C(=O)C(=C(C)C1=O)C)C1=C(C)SC(=C1)c1ccccc1",-7.04393913,-2.32793399,-0.28136572,0.0038,0.0291,2.73200001634434,2.61132124623323,0.120678770111109,"","","","","","",""
"AFINIO","ClC1=C(Nc2ccc3OC(=O)C=Cc3c2)C(=O)c2ccccc2C1=O",-7.40394576,-2.49365133,-1.21716525,0.1119,0.0027,2.98680001786868,2.21225893740656,0.77454108046212,"","","","","","",""
"AFISIS","OC1(CCc2ccccc2)CC2=CC(=O)OC2=CC1=O",-8.26545821,-2.19323764,0.30095792,0.0009,0.0014,3.29990001974183,2.9194573922104,0.38044262753143,"","","","","","",""
"AFOCOP","CN1C(=O)C(c2ccccc12)=C(C#N)C#N",-8.0668151,-2.81392933,-0.08952546,0.0531,0.0001,2.97750001781306,2.28836711332602,0.68913290448704,"","","","","","",""
"AFOMAL","O=N(=O)c1ccc(C=NN(c2ccccc2)c2ccccc2)c(c1)N(=O)=O",-7.19387387,-2.21827211,-1.5423413,0.6741,0.0037,3.30060001974602,2.50423764322649,0.79636237651953,"","","","","","",""
